HIVE:	GENE_SYMBOL	10090:Mus_musculus:mmusculus
Gene	Amacrine:EARLY	Amacrine:LATE	Amacrine:MID	Astrocyte:EARLY	Astrocyte:LATE	Astrocyte:MID	Bipolar:EARLY	Bipolar:LATE	Bipolar:MID	Cone:EARLY	Cone:LATE	Cone:MID	Endothelial:EARLY	Endothelial:LATE	Endothelial:MID	Horizontal:EARLY	Horizontal:LATE	Horizontal:MID	Microglia:EARLY	Microglia:LATE	Microglia:MID	Muller:Glia-EARLY	Muller:Glia-LATE	Muller:Glia-MID	Pericyte:EARLY	Pericyte:LATE	Pericyte:MID	RGC:EARLY	RGC:LATE	RGC:MID	Rod:EARLY	Rod:LATE	Rod:MID	RPE:EARLY
Snhg8		0.23:0.0333:0.57:0.459	0.57:4.55e-16:0.642:0.427						0.29:1.29e-9:0.516:0.414																					1.33:0.0266:0.81:0.633			0.23:1.34e-9:0.374:0.27	
Ecpas		0.23:0.0289:0.457:0.327																																
Chfr		0.23:0.00925:0.376:0.256	0.24:0.00294:0.4:0.242																															
Ptpn4		0.22:0.00466:0.425:0.304	0.3:0.00288:0.497:0.377																															
Cux2		0.22:0.0281:0.287:0.183	0.27:0.0039:0.375:0.265																															
Mcu		0.22:0.0132:0.289:0.181																																
Pcgf2		0.21:0.00768:0.272:0.165																																
Ppa2		0.21:0.0492:0.364:0.256																																
Naa30		0.21:0.00971:0.165:0.082																																
Nckap5l		0.21:0.0000211:0.105:0.03																																
Kdm4b		0.21:0.0162:0.222:0.127																																
Tnpo1		0.21:0.000609:0.261:0.152																														0.3:0.0000769:0.5:0.413	0.17:0.00739:0.476:0.396	
Gpcpd1		0.21:0.0303:0.245:0.148	0.22:0.000171:0.267:0.128																															
Mab21l1		0.2:0.00521:0.423:0.3	0.35:0.0000537:0.612:0.429																													0.32:0.000128:0.382:0.291	0.15:0.00233:0.381:0.299	
Ccnd1		0.2:0.0317:0.136:0.065																																
Erh		0.2:0.000791:0.316:0.191	0.49:1.22e-18:0.486:0.199						0.29:2.01e-18:0.333:0.135			0.37:0.00103:0.328:0.07												0.5:2e-15:0.487:0.192									0.15:7.16e-12:0.161:0.058	
Bhlhe41		0.2:0.00222:0.348:0.226	0.47:4.68e-11:0.486:0.329					0.34:1.22e-12:0.613:0.481	0.21:0.0209:0.549:0.485		0.51:0.000739:0.387:0.21												0.26:0.00179:0.467:0.317									0.5:3.76e-12:0.323:0.206	0.28:5.47e-19:0.341:0.194	
Add3		0.2:0.00113:0.219:0.117	0.19:0.0281:0.236:0.145																														0.22:7.57e-9:0.365:0.254	
Rusc2		0.19:0.0387:0.307:0.201	0.3:0.000393:0.406:0.251																															
Bbs7		0.19:0.0000326:0.174:0.077																														0.28:0.000169:0.52:0.43	0.27:1.91e-14:0.507:0.367	
Sec31a		0.19:0.0158:0.311:0.2																																
Bicdl1		0.18:0.00213:0.164:0.08	0.17:0.00374:0.254:0.097																													0.26:0.0225:0.49:0.428	0.21:8.99e-7:0.509:0.414	
Pmpcb		0.18:0.00226:0.37:0.242																																
Mcl1		0.18:0.0308:0.329:0.218	0.29:0.0000389:0.402:0.277																															
Rfxap		0.18:0.0365:0.364:0.249	0.28:0.000857:0.506:0.329																															
Gm43305		0.18:0.00284:0.182:0.091																																
Msl2		0.17:0.00476:0.218:0.121																																
Slc15a2		0.17:9.05e-9:0.191:0.069	0.29:0.0000638:0.36:0.201																			-0.23:0.0439:0.668:0.761												
Cnot6		0.16:0.0425:0.309:0.207						0.22:0.00241:0.401:0.327															0.21:0.00441:0.451:0.321											
Arid2		0.16:0.0284:0.385:0.264																																
Msi1		0.16:0.0201:0.285:0.18	0.24:0.00105:0.402:0.23					0.2:0.00803:0.387:0.308			0.55:0.00000468:0.777:0.645																					0.31:0.00000183:0.529:0.424	0.31:1.42e-13:0.571:0.436	
Brix1		0.16:0.0302:0.247:0.15																																
mt-Co1		-0.23:0.0041:0.924:0.985	0.44:0.000595:0.984:0.993						0.5:6.12e-31:0.998:0.999			0.7:2.43e-17:1:1												0.58:0.00000471:0.962:0.973							0.55:1.84e-15:0.928:0.822	-0.19:0.00012:0.791:0.902	0.46:2.29e-9:0.898:0.932	
Pnisr		-0.26:0.00436:0.883:0.918	0.61:9.95e-19:0.943:0.898					-0.22:3.06e-9:0.891:0.922															-0.37:0.0000118:0.808:0.863										0.35:2.1e-17:0.539:0.366	
mt-Nd5		-0.27:0.00000199:0.806:0.885	0.73:1.36e-9:0.837:0.763						0.47:9.77e-13:0.975:0.957	-0.41:7.13e-8:0.983:0.992		0.55:0.000315:0.975:0.977												0.46:0.000112:0.951:0.946						1.8:0.0297:0.952:0.967		-0.25:0.000684:0.792:0.818	0.4:3.4e-10:0.79:0.796	
Bsg		-0.32:0.000518:0.825:0.862						-0.28:4.04e-20:0.919:0.962			-0.34:0.0457:0.899:0.918												-0.69:2.23e-33:0.969:0.972											
Calr		-0.32:0.0118:0.724:0.767					-0.17:0.000123:0.697:0.77	-0.43:4.22e-23:0.647:0.743		-0.34:0.00904:0.697:0.809	-0.54:0.00123:0.59:0.703												-0.33:0.00441:0.67:0.719									-0.49:1.11e-11:0.393:0.483		
mt-Atp6		-0.39:9.42e-9:0.948:0.989						-0.22:1.64e-19:0.985:0.998		-0.24:0.00218:1:1	-0.44:2.94e-16:0.982:0.997												-0.19:0.0149:0.969:0.965		-2.09:0.0276:1:1						0.48:2.21e-15:0.956:0.915	-0.3:4.1e-17:0.898:0.947		
Msmo1		-0.39:0.00017:0.496:0.592	0.59:1.72e-10:0.746:0.609																					0.39:0.0445:0.562:0.461										
mt-Co3		-0.46:2.6e-9:0.884:0.97								-0.23:0.0157:1:1	-0.3:0.00112:0.985:0.992												-0.23:0.00598:0.944:0.943								0.5:2.76e-16:0.952:0.904	-0.48:3.69e-36:0.847:0.936		
mt-Co2		-0.49:5.42e-15:0.922:0.991									-0.27:0.000507:0.987:0.995												-0.63:5.69e-36:0.934:0.949								0.46:8.4e-14:0.956:0.898	-0.32:3.15e-17:0.881:0.937		
mt-Cytb		-0.6:1.23e-17:0.894:0.974						-0.32:8.79e-34:0.983:0.998		-0.33:1.94e-7:1:0.997	-0.52:1.78e-19:0.982:0.995												-0.56:3.76e-29:0.953:0.961								0.46:2.46e-13:0.953:0.89	-0.38:7.54e-24:0.87:0.932		
mt-Nd2		-0.63:1.56e-24:0.913:0.988						-0.55:3.41e-78:0.963:0.997			-0.81:2.45e-35:0.954:0.992												-0.3:2.29e-8:0.981:0.978								0.62:2.43e-25:0.937:0.84	-0.52:2.43e-34:0.827:0.904		
mt-Nd4		-0.66:2.52e-20:0.889:0.969						-0.37:1.08e-46:0.984:0.997		-0.29:0.0000579:1:1	-0.65:1.81e-28:0.972:0.995												-0.41:1.15e-20:0.963:0.958								0.53:5.09e-20:0.944:0.887	-0.5:4.5e-33:0.855:0.935		
Fos			1.58:2.66e-13:0.68:0.507				-0.6:1.06e-9:0.274:0.432				-0.54:0.0222:0.438:0.615																					-0.72:7.23e-11:0.123:0.215	0.42:0.0188:0.186:0.12	
Fosb			1.57:2.3e-22:0.448:0.164						0.52:0.0000109:0.206:0.169																									
Egr1			1.46:2.02e-12:0.536:0.372				-0.54:2.1e-9:0.209:0.29																										0.34:0.0203:0.111:0.061	
Jund			1.21:1.3e-40:0.921:0.827			1.3:2.27e-13:0.833:1			0.63:3.52e-31:0.877:0.736													-0.51:0.000522:0.912:0.941											0.35:3.89e-15:0.383:0.258	
Jun			1.2:1.75e-12:0.468:0.301			1.3:3.62e-18:0.833:1			0.51:2.4e-8:0.378:0.259																								0.36:0.00394:0.158:0.09	
Eno1			1.19:3.33e-61:0.916:0.685						0.98:1.76e-118:0.894:0.556			1.04:2.71e-27:0.929:0.573						2.35:0.0107:0.929:0.786						1.32:6.14e-77:0.991:0.951						2.44:3.11e-12:1:0.833		-0.27:0.00449:0.706:0.697	0.98:4.64e-123:0.835:0.513	
Npas4			1.18:2.01e-16:0.424:0.171																															
Rpl35			1.08:2.32e-59:0.786:0.419						0.85:4.8e-94:0.751:0.371			0.68:1.06e-10:0.596:0.234						1.85:0.0131:0.929:0.714					0.22:0.0000316:0.921:0.867	1.06:2.39e-52:0.881:0.58						2.04:4.34e-17:0.952:0.633			0.51:9.78e-52:0.441:0.183	
Dusp1			1.02:3.11e-9:0.539:0.284				-0.17:0.0000763:0.123:0.225															-0.77:0.0000806:0.441:0.613												
Zfhx3			0.94:0.000691:0.329:0.23																															
Rpl10			0.89:5.96e-35:0.852:0.649						0.5:7.41e-27:0.722:0.618			0.45:0.0224:0.631:0.444										-0.43:1.63e-10:0.884:0.945		0.47:0.00000369:0.864:0.837						1.45:0.0000953:0.952:0.833			0.24:1.3e-9:0.333:0.236	
Cplx2			0.89:6.11e-8:0.527:0.355																															
Tmsb10			0.88:1.96e-12:0.695:0.505						0.65:1.02e-12:0.793:0.764			0.94:1.29e-19:0.985:0.924												0.47:0.00000194:0.612:0.409				0.35:2.82e-9:0.773:0.763						
Junb			0.87:0.000325:0.563:0.412			1.1:3.35e-9:0.833:1	-0.29:4.82e-8:0.207:0.304															-0.61:0.0106:0.74:0.795											0.27:0.00258:0.129:0.092	
Slc6a1			0.86:0.0000159:0.618:0.555																					0.47:7.12e-7:0.817:0.764										
Pnmal2			0.86:7.64e-23:0.839:0.751																				0.26:0.000138:0.441:0.297											
Hlf			0.83:6.5e-22:0.861:0.789					0.23:0.0000819:0.763:0.702	0.32:0.0000377:0.717:0.724		0.38:0.00000183:0.23:0.066																					0.33:5.41e-13:0.104:0.036		
Ptprd			0.82:2.32e-13:0.644:0.474																															
Gad2			0.81:1.34e-7:0.534:0.408																															
Ywhaz			0.81:4.36e-23:0.885:0.749						0.26:0.00000151:0.655:0.626			0.43:0.00688:0.697:0.515																				0.24:0.0299:0.293:0.226	0.19:7.16e-9:0.275:0.195	
Rph3a			0.81:4.06e-13:0.695:0.543																															
Kcnq1ot1			0.8:1.34e-17:0.856:0.799					-0.32:9.83e-11:0.738:0.8																									0.28:7.67e-9:0.228:0.153	
Hmgcs1			0.79:5.37e-17:0.868:0.763						0.2:0.0000276:0.217:0.161															0.45:0.00253:0.577:0.455										
Pafah1b1			0.78:5.55e-21:0.848:0.732				-0.17:0.0000627:0.614:0.712		0.21:0.0116:0.549:0.522																								0.16:0.000128:0.302:0.228	
Dnm3			0.78:5.1e-15:0.883:0.808																														0.29:3.42e-18:0.389:0.251	
Rps29			0.78:2.73e-24:0.947:0.91						0.35:2.9e-10:0.956:0.963															0.38:0.0312:0.957:0.954									0.38:1.18e-10:0.842:0.798	
Malat1			0.78:8.12e-33:0.998:0.991	-0.35:1.05e-26:0.909:1					0.27:0.00000596:0.998:0.993		-0.46:3.55e-22:0.977:0.984							0.39:1.13e-171:0.857:0.786	0.48:1.3e-20:0.81:0.682					0.3:0:0.884:0.913						1.21:0:0.952:0.9		-0.4:2.71e-28:0.847:0.883	0.81:4.58e-17:0.844:0.73	
Apc			0.77:6.6e-22:0.709:0.583						0.17:0.00515:0.371:0.341																								0.22:1.75e-13:0.292:0.177	
Scg2			0.76:0.0446:0.623:0.498																															
mt-Nd4l			0.75:2.8e-17:0.918:0.822				-0.31:2.28e-13:0.935:0.951		0.44:6.47e-10:0.832:0.829	-0.58:1.33e-12:0.898:0.957	-0.35:0.0015:0.909:0.931												0.17:0.0181:0.953:0.946	0.73:1.83e-17:0.939:0.894								-0.21:0.00068:0.665:0.713	0.24:0.00377:0.626:0.644	
Peg3			0.75:7.32e-16:0.819:0.656																														0.23:1.1e-9:0.311:0.203	
Cdr1os			0.74:1.74e-15:0.795:0.609						0.26:0.0162:0.318:0.27																									
Celf4			0.73:2.99e-18:0.962:0.927																														0.15:1.29e-12:0.106:0.046	
Srrm2			0.72:1.56e-23:0.943:0.896																														0.37:1.29e-19:0.688:0.541	
Chgb			0.72:2.68e-9:0.854:0.787																													-0.34:0.049:0.22:0.272		
Ank2			0.72:4.8e-10:0.75:0.652																														0.34:6.59e-17:0.551:0.404	
Hmgcr			0.72:7.88e-18:0.792:0.727																					0.41:0.00033:0.446:0.363										
Pbx1			0.71:1.81e-8:0.706:0.531																															
Hmgn2			0.7:1.68e-31:0.618:0.251						0.52:8.69e-42:0.543:0.25			0.6:4.88e-7:0.525:0.24												0.75:4.27e-26:0.728:0.444								0.28:0.000507:0.573:0.488	0.73:1.42e-87:0.63:0.318	
Hnrnpa0			0.7:2e-22:0.808:0.739					0.23:0.0000308:0.677:0.603	0.34:1.2e-14:0.665:0.569															0.42:0.0000192:0.728:0.648								0.31:0.0000211:0.509:0.418	0.33:3.66e-20:0.508:0.342	
Ubb			0.69:2.83e-19:0.969:0.955						0.44:1.42e-40:0.992:0.998			0.79:6.31e-10:0.995:0.93												0.51:4.73e-8:0.988:0.995				0.31:1.42e-18:0.773:0.746		0.93:6.14e-125:1:0.967			0.53:1.79e-32:0.973:0.966	
Srsf5			0.69:2.02e-20:0.901:0.867						0.22:0.0187:0.791:0.793														0.23:0.0177:0.897:0.85	0.52:0.00000148:0.893:0.821									0.39:7.44e-20:0.62:0.502	
Syt1			0.69:4.62e-21:0.996:0.988				-0.19:5.66e-8:0.972:0.981		0.28:4.03e-7:0.972:0.97																								0.37:1.48e-19:0.716:0.607	
Rps27			0.69:2.87e-22:0.923:0.851						0.36:2.9e-12:0.913:0.872																								0.33:2.92e-9:0.708:0.655	
Btg2			0.68:3.42e-8:0.395:0.256				-0.17:0.0151:0.574:0.643															-0.62:0.00332:0.757:0.842											0.38:1.56e-10:0.291:0.199	
Hmgb1			0.68:5.18e-25:0.91:0.829					0.18:0.0000511:0.872:0.87	0.34:2.12e-12:0.908:0.85													-0.25:0.00169:0.904:0.955											0.25:2.15e-7:0.491:0.417	
Camk2n1			0.68:2.39e-7:0.821:0.73																			-0.58:1.26e-24:0.798:0.906											0.16:0.0000379:0.283:0.228	
Rab3c			0.68:1.11e-14:0.731:0.588																															
Tceal9			0.67:8.77e-18:0.859:0.81						0.28:0.000025:0.766:0.74																									
Ncl			0.67:5.02e-18:0.91:0.806						0.33:5.19e-8:0.779:0.745															0.39:0.00886:0.797:0.707									0.36:4.26e-17:0.634:0.5	
Ankrd12			0.67:2.68e-18:0.892:0.806																														0.52:8.7e-32:0.71:0.557	
Rims2			0.67:2.57e-15:0.66:0.445						0.24:0.00192:0.663:0.626			0.48:0.0135:0.747:0.678																		1.55:0.00804:0.857:0.567			0.54:2.49e-44:0.683:0.462	
Ptms			0.67:4.52e-18:0.934:0.91						0.24:0.000329:0.895:0.919															0.39:0.000585:0.965:0.932				0.65:4.88e-14:0.795:0.712			0.19:1.22e-11:0.326:0.213	0.34:3.88e-8:0.389:0.282	0.35:1.49e-19:0.397:0.262	
Macf1			0.66:3.71e-18:0.726:0.495																														0.29:2.31e-12:0.482:0.348	
Slc12a5			0.66:3.8e-13:0.905:0.794					0.18:0.0116:0.974:0.966	0.25:0.00286:0.927:0.939																							0.39:2.38e-8:0.404:0.3	0.18:0.00000153:0.346:0.257	
Nucks1			0.66:2.23e-18:0.841:0.749																														0.18:0.0000143:0.335:0.259	
Ywhag			0.66:2.13e-14:0.81:0.68					0.16:0.0209:0.476:0.388																								0.23:0.00016:0.124:0.069		
Mxra7			0.66:2.28e-12:0.771:0.623																															
Celf2			0.66:3.42e-16:0.879:0.768						0.22:0.0049:0.719:0.677			0.48:0.000121:0.606:0.38																					0.24:3.28e-8:0.471:0.383	
Chd3			0.66:2e-10:0.755:0.602																															
Rps15			0.66:3.42e-20:0.89:0.754						0.32:1.58e-9:0.843:0.834																								0.26:0.0000178:0.725:0.716	
H3f3b			0.66:4.96e-22:0.98:0.964						0.42:3.99e-36:0.996:0.994			0.54:0.0000557:0.995:0.947											0.31:0.000102:0.979:0.967	0.83:2.28e-13:0.994:0.989				0.36:0.000491:0.795:0.661					0.52:4.45e-35:0.978:0.96	
Rpl17			0.65:1.47e-15:0.909:0.825						0.27:0.000127:0.842:0.846													-0.32:0.00000466:0.94:0.966											0.23:0.000234:0.649:0.584	
Ahi1			0.65:1.06e-8:0.775:0.661																														0.31:1.24e-18:0.514:0.372	
Atf4			0.65:8.66e-15:0.695:0.5						0.32:2.41e-12:0.551:0.446			0.69:1.51e-8:0.808:0.608																					0.24:2.02e-8:0.581:0.52	
Ubc			0.65:1.78e-11:0.923:0.889					-0.23:1.29e-11:0.798:0.869															-0.34:0.00000149:0.899:0.932					0.73:1.38e-21:0.75:0.712				-0.25:0.0051:0.509:0.57	0.23:0.000383:0.56:0.521	
Nrxn3			0.64:1.97e-15:0.952:0.889																															
Auts2			0.64:1.56e-12:0.821:0.675																															
Gadd45g			0.64:7.66e-10:0.316:0.197																															
Stmn2			0.64:0.00203:0.473:0.36																															
Btbd8			0.63:9.92e-16:0.585:0.365						0.27:0.00000725:0.431:0.378																									
Pcdh7			0.63:0.0203:0.311:0.206																															
Psd3			0.63:8.87e-14:0.426:0.225																															
Eif1			0.63:2.92e-15:0.971:0.929						0.25:3.13e-7:0.98:0.982		0.31:0.0236:0.916:0.854											-0.28:0.000977:0.979:0.989		0.33:0.0171:0.988:0.989				0.29:0.00187:0.818:0.763					0.34:6.82e-12:0.875:0.837	
