Gene ID	ZT_15_30: LogFC	ZT_15_30: FDR	ZT_0_15: LogFC	ZT_0_15: FDR	ZT_5_45:LogFC	ZT_5_45:FDR	ZT_11_15:LogFC	ZT_11_15:FDR
ABHD12B	0.321357184	0.717837527	0.166501693	0.81520134	-0.283050918	0.817656198	0.289037328	0.735934178
ABHD13	0.102240349	0.928258876	-0.179537209	0.712271185	0.386713855	0.550093842	0.169155158	0.840389415
ABHD14A	0.918624793	0.143336965	-0.090056566	0.91949052	0.262172977	0.85742457	0.333707014	0.719086992
ABHD14A-ACY1	-0.049624545	0.976415208	-0.198291595	0.769568887	-0.428521941	0.670488138	-0.285528218	0.761575254
ABHD14B	0.037268376	0.972057753	-0.146018889	0.740216013	-0.2126906	0.794760511	-0.189860685	0.758816918
ABHD15	-0.393095077	0.404654576	0.290056652	0.430125185	-0.199649565	0.820883277	-0.242082585	0.665272444
ABHD2	0.181967814	0.782275931	-0.047193224	0.929505983	0.2398424	0.72938855	0.167647994	0.792977074
ABHD3	-0.445771687	0.532589082	-0.31677154	0.535289336	-0.170612651	0.916742927	-0.542112794	0.358665451
ABHD4	0.575161293	0.359190972	0.441135948	0.333541328	0.41137809	0.626578357	0.473003139	0.44935045
ABHD5	-0.953718876	0.022894213	-0.63454076	0.08288477	-0.700759464	0.145291695	-0.736636831	0.068655955
ABHD6	-0.131628959	0.933079963	0.037721056	0.969915853	-0.260866609	0.849746395	-0.00041498	1
ABHD8	-0.534601106	0.933079963	1.104502427	0.69510657	3.873053779	0.132094622	-0.394726664	0.949465763
ABI1	-0.040291714	0.962025769	-0.12993633	0.727387757	-0.051645641	0.968796929	0.050379061	0.958393686
ABI2	0.021104713	0.983336036	-0.103271764	0.794898255	0.086900344	0.940653832	-0.037575439	0.972492028
ABI3	-0.384189764	0.910264873	-1.40465179	0.203670668	-0.762332124	0.788239069	0.01146101	1
ABI3BP	0.262738117	0.772540694	0.359116302	0.457360401	0.619360624	0.324834032	0.18389986	0.861542853
ABL1	0.047349128	0.94902571	0.391194137	0.093438642	0.145369448	0.834077254	0.185959873	0.674260224
ABL2	-0.017655806	0.983263558	0.076794301	0.825157702	0.13807621	0.829939106	0.166117896	0.686854892
ABLIM1	0.086068102	0.928505862	0.187763619	0.621407381	0.192217933	0.816519933	0.004273232	1
ABLIM2	0.889225767	0.537471665	0.715505407	0.500139019	0.398909686	0.883967027	-0.085777253	0.981697913
ABLIM3	0.167269855	0.851595801	0.09780426	0.865100525	-0.104145169	0.945574541	0.01696506	0.997488748
ABO	-0.534808751	0.896476062	0.0559249	0.984382687	-0.272491393	0.954925297	-0.457857554	0.885600091
ABR	-0.010071607	0.992770931	0.060429656	0.908119495	-0.153285823	0.870310176	0.008569962	0.998349492
ABRA	1.118844484	0.566147097	0.411664025	0.773430812	0.263884656	0.957160248	0.389888347	0.897706256
ABT1	-0.049746538	0.974032681	0.153797508	0.822855085	0.019261644	1	-0.187782584	0.86975038
ABTB1	-0.003357458	0.999915631	-1.049082592	0.108418654	-0.385515619	0.856620352	-0.222105878	0.914089476
ABTB2	0.350715476	0.813502533	0.494915543	0.511933325	0.533474041	0.685015621	-0.212743946	0.908588621
ACAA1	0.080606039	0.93028453	0.151390692	0.684204334	-0.031349583	0.986643664	0.180300513	0.738473663
ACAA2	-0.05031447	0.962778091	0.231395519	0.588630954	-0.068736146	0.968429778	0.01514649	0.998349492
ACACA	-0.662807626	0.343355101	-0.267027083	0.678983329	-0.348277399	0.771383364	-0.671494371	0.273760051
ACACB	-0.832237746	0.227781453	-0.686799844	0.18973038	-1.19516087	0.035960737	-1.218996752	0.016552294
ACAD10	0.336967398	0.654724123	0.022776712	0.981960186	-0.043880832	0.986350997	-0.131033299	0.906306217
ACAD11	-0.097915478	0.924518904	0.091369452	0.860291106	0.009853256	1	-0.271487413	0.623049464
ACAD8	-0.335286509	0.586817774	-0.130374612	0.808566086	-0.808270285	0.035960737	-0.252649865	0.696248965
ACAD9	0.24182218	0.767778211	0.338756718	0.433115081	-0.064059008	0.973979881	0.137496904	0.89795831
ACADL	-0.008981947	0.995411227	-0.0148265	0.992265118	0.12189098	0.943297626	-0.047377645	0.979221538
ACADM	-0.75350525	0.143336965	-0.690038525	0.076119633	-0.81695498	0.092682105	-0.738804464	0.104762756
ACADS	-0.435609496	0.635977985	-0.082539359	0.926684246	-0.304947828	0.834077254	0.046551935	0.986462127
ACADSB	-0.135361786	0.892343173	-0.179287618	0.70468838	-0.279941346	0.726310705	-0.301701864	0.601675667
ACADVL	0.139967573	0.823938555	0.216224426	0.487868631	-0.113829955	0.905503243	-0.023674646	0.987280233
ACAP1	0.339819757	0.883040403	-1.532339997	0.050948581	-0.023207223	1	0.207906986	0.940252711
ACAP2	-0.011827588	0.990219784	-0.154472915	0.633285805	0.147838394	0.834077254	0.102333664	0.875735949
ACAP3	0.622838997	0.693911307	0.540759611	0.611889535	0.033891425	1	0.164308218	0.960753117
ACAT1	-0.812416549	0.031882194	-0.701696548	0.023410411	-0.81548821	0.023886297	-0.831762564	0.010927955
ACAT2	-0.435544849	0.446227418	-0.103742537	0.859224271	-0.184977981	0.870524567	-0.144230509	0.879421902
ACBD3	0.033309019	0.970580861	0.088397892	0.831778319	-0.080900844	0.943297626	0.014967725	0.996500401
ACBD4	0.373653627	0.836600981	0.848171458	0.277343225	-0.716597423	0.56825854	0.069665088	0.981605809
ACBD5	0.008469711	0.992354434	0.018958839	0.970453629	-0.03377135	0.978784724	-0.096461725	0.881958981
ACBD6	-0.013499336	0.992354434	-0.129641439	0.797366982	-0.322997139	0.63719834	0.092831735	0.925231864
ACBD7	-0.942501878	0.896480744	-0.46485465	0.914439216	0.995048864	0.916742927	2.315670981	0.540203454
ACCN2	0.102699963	0.951282989	0.142405558	0.884247616	-0.182966897	0.944956756	0.259315045	0.835000119
ACCN3	-0.20416231	0.960607875	0.693182331	0.715811942	-0.655018655	0.878589807	0.286098183	0.946781298
ACCS	0.089388166	0.951282989	0.051711003	0.949291829	0.140099693	0.944341918	-0.054137725	0.979221538
ACD	0.024399867	0.993155619	-0.209193	0.859224271	0.101648563	0.97851962	0.530287604	0.713134408
ACE	0.151296269	0.944457397	0.161005339	0.881777479	-0.168160753	0.956818849	-0.257972186	0.887201799
ACE2	-0.375425504	0.887101538	-0.687624482	0.562566544	-1.100853805	0.519515413	-0.757370527	0.661770288
ACER2	-0.262983751	0.833810633	-0.666596764	0.146334619	-0.314909446	0.847693408	-0.873791339	0.188099755
ACER3	-0.191684426	0.757676878	0.215301621	0.552614875	-0.104348577	0.932898071	-0.140976977	0.837904135
ACHE	1.013188408	0.87085168	0.640357226	0.868978117	1.535114639	0.809071536	-0.118218431	0.996500401
ACIN1	-0.050960513	0.943521779	-0.192669778	0.473686293	-0.124439447	0.861633275	-0.203171591	0.601675667
ACLY	-0.316400412	0.782148428	0.040161054	0.970853367	-0.522806807	0.604646785	-0.359995179	0.715476742
ACMSD	-1.596427623	0.648925574	-0.239129039	0.940290807	0.038440673	1	-0.882214558	0.858530414
ACN9	0.340160657	0.664118996	-0.144181845	0.833769676	-0.072616451	0.97402433	-0.077176433	0.960848918
ACO1	-0.281589858	0.576176177	-0.172606694	0.650636139	-0.354635305	0.473198693	-0.355421721	0.394301876
ACO2	-0.211032923	0.768881976	-0.143011014	0.767770895	-0.13916651	0.908836586	-0.196117956	0.779215417
ACOT1	-0.965791233	0.715735937	-0.20162994	0.932045074	-0.61595004	0.877587155	-0.191902139	0.968228687
ACOT11	1.188257579	0.570091496	0.51497175	0.753421307	1.555629203	0.487793628	-0.163762565	0.968228687
ACOT13	-0.147483026	0.802194392	0.316231052	0.240545139	0.055644482	0.96655971	-0.090748842	0.903850937
ACOT2	0.436900549	0.852713407	0.899625222	0.403853595	-0.258330675	0.952260269	0.371569631	0.88522275
ACOT4	-0.137062466	0.937903368	-0.248406803	0.770966333	0.084344108	0.9761767	0.435330191	0.671884878
ACOT6	0.07511869	0.978858161	0.46804642	0.668925672	-0.174395754	0.96386151	-0.843754934	0.499582565
ACOT7	0.419366499	0.823098694	0.848426444	0.346373611	0.613258331	0.75678003	0.498434378	0.752376069
ACOT8	0.217337912	0.856780871	0.217923392	0.754831465	-0.463335786	0.620541118	0.122491159	0.934234076
ACOT9	0.080861815	0.933314808	-0.119325726	0.789002816	-0.178029729	0.834077254	0.113126617	0.895531735
ACOX1	-0.039315025	0.971964938	0.25666396	0.49700506	0.114471406	0.932668809	0.177402185	0.797239013
ACOX2	0.38588169	0.505906733	0.256536879	0.540136413	0.391184888	0.542458868	-0.002179192	1
ACOX3	0.246676615	0.818294897	0.10117079	0.897831979	0.350468229	0.759063112	0.193698825	0.873027401
ACOXL	0	1	-1.139275823	0.738122058	-0.082304466	1	2.611723589	0.462606098
ACP1	-0.241589909	0.538569608	-0.301388835	0.204511229	-0.010583586	1	-0.137810011	0.775836189
ACP2	0.064339399	0.960607875	0.369857509	0.445166976	-0.098115433	0.959457186	0.123484084	0.921290632
ACP5	1.268963442	0.550755825	1.496854285	0.249876832	-0.59704321	0.877587155	0.672757661	0.798913982
ACP6	-0.641316218	0.563601778	-0.336646673	0.696164385	-0.098676223	0.975695006	-0.040500504	0.995380116
ACPL2	-0.271444962	0.817035904	0.06424857	0.940533091	0.341711326	0.793176801	0.362313792	0.689418585
ACPP	-0.232251375	0.948164958	-1.331001107	0.282722109	-0.012287041	1	-0.01565544	1
ACPT	0.447527669	0.970580861	0	1	0	1	-1.079148006	0.916228682
ACRBP	-0.333434844	0.924518904	-0.171461166	0.931123507	0.050725875	1	-0.916732262	0.63229317
ACRC	-0.335504863	0.83959187	0.162805649	0.875556938	-0.723307872	0.557280876	-0.669565731	0.517181533
ACRV1	-2.473018497	0.532589082	-1.936405928	0.450842114	0	1	-1.247881818	0.822210467
ACSBG1	0.02948665	0.995385949	0.458756018	0.78109805	-1.02117672	0.650515912	-0.289778158	0.935381521
ACSBG2	-0.473327048	0.863932513	-0.330942179	0.836741793	0.340215093	0.940653832	-0.138601701	0.970104871
ACSF2	0.200984221	0.918248351	-0.082604995	0.943167179	-0.352718532	0.85497323	-0.58991302	0.574508445
ACSF3	-0.289551914	0.857328499	0.147185155	0.89182123	0.298032678	0.896650071	-0.272661431	0.868817768
ACSL1	-0.768011623	0.333823502	-0.09409844	0.922198263	-0.434502768	0.72938855	-0.847736399	0.195954434
ACSL3	0.089844977	0.931761018	0.223922553	0.57030704	0.107044016	0.936119399	0.070357755	0.948307145
ACSL4	-0.182111678	0.778387596	-0.224867485	0.523828204	-0.317501912	0.564570902	-0.44719469	0.218114608
ACSL5	0.059248883	0.955177771	-0.267870551	0.498830349	-0.025947803	0.995609372	0.059992614	0.96140024
ACSL6	0.09465848	0.985806013	-1.85147985	0.255808584	0.063699843	1	0.161122248	0.981605809
ACSM1	1.48860859	0.654640334	1.14686246	0.621889626	0.630072053	0.925048691	0.33912738	0.963006592
ACSM3	-0.01332196	0.99734179	0.000344004	1	-0.532073948	0.831357214	0.430432817	0.836983278
ACSM4	0.302974064	0.959410586	0.171877495	0.948960538	-0.443434603	0.952260269	-0.23834137	0.968425818
ACSM5	-0.34687553	0.728745042	-0.154888764	0.840846567	-0.673620828	0.368253052	-0.524089912	0.46811225
ACSS1	-0.050616366	0.980244655	-0.097959462	0.913596278	-0.028127941	0.999653159	0.220694191	0.878377569
ACSS2	-0.777085592	0.250521234	-0.243688381	0.72747298	-0.58221853	0.50730545	-0.598023572	0.407773075
ACSS3	-0.444509125	0.56804147	-0.824412753	0.046935212	-0.826330764	0.13846873	-0.798962491	0.108615746
ACTA2	0.031670814	0.992354434	-0.2420179	0.845859127	-0.075716151	0.989174893	0.259764343	0.907873346
ACTB	0.268229899	0.714576092	0.183725263	0.718976811	0.188546222	0.868200128	0.374188409	0.517580745
ACTBL2	-0.334987594	0.93538708	-1.178795312	0.366248214	-0.428371894	0.931898784	-0.406271329	0.900476149
ACTG1	0.354894892	0.550065489	0.200798042	0.666149131	0.20274604	0.836370597	0.386938334	0.461866828
ACTG2	0.042004538	0.995301372	-0.610902859	0.781762364	-0.746942769	0.896712071	0.515373192	0.908588621
ACTL6A	-0.206690149	0.719666246	-0.188841041	0.609087444	-0.036968714	0.98264996	-0.385226626	0.321540512
ACTN1	0.433410747	0.340537408	0.613948846	0.03170327	0.466582059	0.308406708	0.66450303	0.035082778
ACTN2	-1.53084922	0.701980486	-3.664890406	0.059787229	2.932791056	0.400548786	-0.062995232	0.998349492
ACTN4	0.492375986	0.162241297	0.515912825	0.04809761	0.265911164	0.650548282	0.434614288	0.195522362
ACTR10	-0.075829676	0.922717923	-0.164041667	0.600112495	0.039584376	0.975284933	-0.102556624	0.875323629
ACTR1A	0.126843448	0.842550524	0.348825828	0.183340081	0.113605146	0.901461082	0.448078306	0.122157844
ACTR1B	0.149765827	0.817035904	-0.154097841	0.681617626	-0.070768795	0.956601715	-0.040369856	0.971336068
ACTR2	0.014436908	0.987482792	-0.100998395	0.794898255	0.060887666	0.962075599	0.086740357	0.908588621
ACTR3	0.357206632	0.696180449	0.198872146	0.769568887	0.327817415	0.788239069	0.148102794	0.914089476
ACTR3B	0.528904809	0.697772059	-0.509209618	0.509647481	0.381364922	0.849562077	-0.006767311	1
ACTR5	-0.310583876	0.802194392	-0.273089794	0.697956606	-0.235037892	0.894545375	-0.090765572	0.963519585
ACTR6	-0.635536668	0.465978414	-0.453734798	0.465931199	0.007001268	1	-0.386786918	0.705772039
ACTR8	0.286526276	0.603948956	-0.023812015	0.970566389	0.069145766	0.964246525	-0.019861353	0.994988829
ACVR1	-0.342055973	0.480864462	-0.324120215	0.299514669	-0.014997185	0.999778191	-0.345044391	0.442362742
ACVR1B	0.150622312	0.898500223	0.051520529	0.944016408	0.264678799	0.817656198	0.551043637	0.325910716
ACVR1C	-0.924788337	0.049080202	-0.72950519	0.062905758	-0.818438742	0.102760881	-1.086225408	0.006283769
ACVR2A	-0.142885541	0.818891866	-0.032961019	0.944016408	-0.031544214	0.985075561	-0.090307527	0.906306217
ACVR2B	-0.026653821	0.985196879	-0.179137952	0.716266576	-0.314854221	0.703849065	-0.147331614	0.877155668
ACVRL1	-0.116568619	0.936913361	-0.093323886	0.907710375	-0.218538875	0.884093963	0.141248227	0.916564093
ACY1	-0.105660684	0.942350037	-0.173139682	0.809484872	-0.441779726	0.660641991	-0.404518206	0.613619407
ACYP1	0.162972642	0.904702432	-0.055126383	0.943608683	0.027306165	0.998114029	-0.280759359	0.739896608
ACYP2	0.251100562	0.749276484	0.319326647	0.460214546	0.313314001	0.714983877	0.426423335	0.448979259
ADA	-0.496993635	0.539870889	-0.359139722	0.527710224	-0.125545876	0.951622931	-0.043423194	0.985801931
ADAL	-0.342508006	0.645578413	-0.032064194	0.969341018	-0.416514841	0.583874093	-0.247526998	0.752429573
ADAM1	0.087960433	0.956918515	-0.255074971	0.728615204	-0.063685619	0.985140987	-0.178297512	0.906306217
ADAM10	0.01935426	0.985806013	-0.244945414	0.496551518	-0.114097879	0.927630967	0.043267985	0.972492028
ADAM11	0.082627858	0.98853315	-0.817585447	0.747769386	-0.828192317	0.90569607	0.137840315	0.98922666
ADAM12	0.540709481	0.523119827	1.095556466	0.017768737	0.678125261	0.418900686	0.54455565	0.484726748
ADAM15	0.000421297	1	0.092830601	0.885634459	-0.3707458	0.653218336	0.097217543	0.938957716
ADAM17	0.22110026	0.663001934	0.211331396	0.516246315	0.38906362	0.359035261	0.448032912	0.148522875
ADAM19	-0.484536235	0.801609344	-1.359606995	0.098542306	-0.274486593	0.941741211	-0.337524778	0.880043876
ADAM20	0.113582893	0.968369772	-0.266428436	0.83344266	-0.349400997	0.914336882	0.677247712	0.660836895
ADAM21	-0.865621743	0.647586279	-0.412354352	0.765800397	-0.718438539	0.783210741	-0.625495735	0.777675504
ADAM22	0.75041159	0.324563542	0.760503914	0.139378579	0.261043378	0.875073327	0.456553796	0.599010762
ADAM23	-0.423674576	0.897622706	-0.781063796	0.591831504	-0.187790299	0.975695006	0.854129442	0.723172631
ADAM28	-0.078604423	0.97785579	-1.030593803	0.183813318	-0.059319425	0.995810312	-0.009514101	1
ADAM32	-0.412916105	0.643324191	-0.157925895	0.835927813	-0.167445002	0.933760902	0.073281833	0.969980106
ADAM33	0.025684273	0.990150182	0.131241013	0.881482426	0.042940283	0.994485899	0.058639348	0.980905288
ADAM8	-1.110645912	0.664205202	-3.073975529	0.01893224	-0.277747385	0.966868523	-0.269138265	0.955217466
ADAM9	0.411267286	0.503493988	0.667323902	0.054325772	0.226477491	0.831357214	0.220790863	0.776307027
ADAMDEC1	0.467537798	0.931265763	3.21886891	0.065297508	-1.607784101	0.660641991	0.627175446	0.885512601
ADAMTS1	0.18895664	0.85115545	0.179439	0.755574865	0.436994728	0.553998289	-0.093423092	0.945733085
ADAMTS10	1.413817979	0.195121482	0.752053969	0.416271221	0.545513292	0.781979417	0.802366697	0.582955584
ADAMTS12	0.125605265	0.894902906	0.341387542	0.336569561	0.111757569	0.936132741	-0.09547211	0.921634298
ADAMTS13	0.774364165	0.816021354	0.765926341	0.599425589	-1.030918579	0.74778135	0.00844402	1
ADAMTS14	-0.112098595	0.98853315	-1.949129393	0.47201589	0.715934844	0.952793853	0.607333028	0.946045795
ADAMTS15	0.974832733	0.162241297	1.149663679	0.03170327	1.025924332	0.12709223	0.474301361	0.622027415
ADAMTS16	-0.695702046	0.696030532	-0.114387653	0.944136069	0.60839196	0.834077254	-0.09882085	0.981430576
ADAMTS17	0.419381114	0.906179151	0.256175085	0.904387943	0.578452735	0.898928096	0.668219556	0.80847433
ADAMTS18	0.132064814	0.966599223	0.456774837	0.742855148	-0.642311931	0.81902021	-0.668536753	0.719974092
ADAMTS19	-0.156669805	0.975236207	1.63077986	0.388870212	1.075390738	0.834077254	-0.055921612	0.998349492
ADAMTS2	0.140572373	0.928505862	0.738329034	0.121042047	0.452136291	0.66199622	0.412940117	0.617704182
ADAMTS3	0.370186833	0.86994095	2.032754698	0.007150178	0.315543252	0.920693696	0.587946821	0.738473663
ADAMTS4	1.067670474	0.539870889	1.202962556	0.438557272	0.03150757	1	0.882676671	0.667354215
ADAMTS5	0.148431062	0.843602126	0.183734729	0.648160968	0.131194034	0.904869664	0.093234026	0.91753693
ADAMTS6	0.101862044	0.970580861	-0.02276934	0.99567243	0.065054402	0.992657631	0.401026122	0.803307828
ADAMTS7	1.100997845	0.641719641	-0.43236152	0.833939263	-0.533543784	0.914536397	0.039626753	0.998349492
ADAMTS8	-1.34107348	0.806467513	-0.004710866	1	-2.201505787	0.697115035	-0.086372138	0.998349492
ADAMTS9	-0.382784865	0.700129428	-0.024601758	0.987584497	-0.225233469	0.900950926	-1.04132367	0.048486862
ADAMTSL1	-0.234472779	0.918764215	-0.799236905	0.322671798	-0.60342836	0.723825683	-0.274922255	0.896050689
